name,date,currency_code,local_price,dollar_ex,dollar_price,usd_raw,eur_raw,gbp_raw,jpy_raw,cny_raw,gdp_dollar,adj_price,usd_adjusted,eur_adjusted,gbp_adjusted,jpy_adjusted,cny_adjusted
United Arab Emirates,2016-01-01,AED,13.0,3.6731,3.53924477961395,-0.2821,-0.11497,-0.16169,0.1349,0.31881,,,,,,,
Argentina,2016-01-01,ARS,33.0,13.80925,2.3897025544472,-0.51527,-0.40242,-0.43397,-0.23371,-0.10954,12735.196,2.74447364606715,-0.247,-0.186,-0.185,0.006,-0.171
Australia,2016-01-01,AUD,5.3,1.415728746,3.74365500098421,-0.24064,-0.06385,-0.11327,0.20045,0.39498,61066.154,4.50951147296301,-0.282,-0.224,-0.223,-0.041,-0.209
Brazil,2016-01-01,BRL,13.5,4.0248,3.35420393559928,-0.31963,-0.16124,-0.20551,0.07557,0.24986,11572.7,2.70201950283219,0.074,0.161,0.161,0.434,0.182
Canada,2016-01-01,CAD,5.84,1.4092,4.14419528810673,-0.15939,0.03631,-0.0184,0.32889,0.54423,50304.025,4.11648047235812,-0.129,-0.058,-0.058,0.163,-0.041
Switzerland,2016-01-01,CHF,6.5,1.0088,6.44329896907217,0.30696,0.61123,0.52618,1.06612,1.40093,86468.355,5.43719524971354,0.025,0.108,0.109,0.369,0.129
Chile,2016-01-01,CLP,2100.0,715.215,2.93618002978125,-0.40443,-0.26577,-0.30453,-0.05848,0.09409,14479.829,2.80818732703848,-0.095,-0.022,-0.022,0.208,-0.004
China,2016-01-01,CNY,17.6,6.5582,2.68366320026837,-0.45565,-0.32892,-0.36434,-0.13945,0.0,7571.543,2.55589797434212,-0.092,-0.018,-0.018,0.213,0.0
Colombia,2016-01-01,COP,7900.0,3253.9,2.42785580380467,-0.50753,-0.39288,-0.42493,-0.22148,-0.09532,7928.061,2.56891794708856,-0.182,-0.116,-0.116,0.092,-0.1
Costa Rica,2016-01-01,CRC,2150.0,535.25,4.01681457262961,-0.18523,0.00445,-0.04857,0.28804,0.49677,,,,,,,
Czech Republic,2016-01-01,CZK,75.0,25.1442,2.98279523707257,-0.39497,-0.25411,-0.29349,-0.04353,0.11146,19526.401,2.9924872218627,-0.138,-0.068,-0.068,0.151,-0.051
Denmark,2016-01-01,DKK,30.0,6.9405,4.32245515452777,-0.12323,0.08088,0.02383,0.38605,0.61065,60947.383,4.50517397756848,-0.17,-0.103,-0.102,0.108,-0.086
Egypt,2016-01-01,EGP,16.93,7.83005,2.16218287239545,-0.56142,-0.45932,-0.48786,-0.30667,-0.19432,3303.752,2.40003902049549,-0.221,-0.157,-0.157,0.041,-0.142
